# file: Allele_status.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/Allele_status.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allele_status.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Allele,Cells,Groups,Confirmed,Start,End,Partial,Type
KIR2DL1*0030202,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030203,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030204,3,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030205,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030206,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030207,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030208,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030209,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030210,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030211,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030212,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030213,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030214,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030215,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030216,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030217,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030218,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030219,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030220,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030221,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030222,3,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030223,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030224,3,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030225,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030226,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030227,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030228,2,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030229,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030230,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030231,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030232,2,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*0030233,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030234,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030235,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030236,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030237,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030238,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030239,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030240,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030241,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030242,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0030243,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00303,4,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*00304,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*00305,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*00306,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*00307,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00308,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*00309,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*0040101,7,4,Confirmed,1,1047,Full,gDNA
KIR2DL1*0040102,4,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*0040103,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040104,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040105,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040106,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040107,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040108,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040109,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040110,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040111,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040112,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040113,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040114,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040115,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040116,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0040117,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00402,5,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*00403,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*00404,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*00405,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*00406,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*005,1,1,Unconfirmed,41,1047,Partial,cDNA
KIR2DL1*00601,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL1*00602,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*007,3,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*008,4,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*009,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*010,3,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*01101,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*01102,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL1*01201,3,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*01202,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL1*013N,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*014,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*015,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*016,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*017,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*018,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*019,1,1,Unconfirmed,11,1047,Partial,cDNA
KIR2DL1*020,1,1,Unconfirmed,10,1047,Partial,cDNA
KIR2DL1*021,1,1,Unconfirmed,10,1047,Partial,cDNA
KIR2DL1*02201,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*02202,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*023,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*024,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*025,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*026,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*027,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*028,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*029,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*030,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*031,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*0320101N,6,3,Confirmed,1,1047,Full,gDNA
KIR2DL1*0320102N,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0320103N,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*033,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*034,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*035,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*036,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*0370101,4,2,Confirmed,1,1047,Full,gDNA
KIR2DL1*0370102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*038,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*039,2,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*040,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*041,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*042,2,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*0430101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0430102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*044,2,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*0450101N,2,1,Confirmed,1,1046,Full,gDNA
KIR2DL1*0450102N,1,1,Unconfirmed,1,1046,Full,gDNA
KIR2DL1*0450103N,1,1,Unconfirmed,1,1046,Full,gDNA
KIR2DL1*046,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0470101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0470102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*048,2,1,Confirmed,1,1047,Full,gDNA
KIR2DL1*049,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*050,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0510101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0510102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*052,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*053,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0540101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0540102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*055,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*056,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*057,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*058,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0590101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0590102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*060,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*061,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*062,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*063,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0640101,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*0640102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL1*065,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*066,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*067,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*068,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*069,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*070,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*071,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*072,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*073,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*074,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*075,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*076,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL1*077,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*0010101,3,3,Confirmed,1,1047,Full,gDNA
KIR2DL2*0010102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0010103,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0010104,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0010105,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0010106,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0010107,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*00102,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*00103,1,1,Unconfirmed,5,1040,Partial,cDNA
KIR2DL2*002,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*0030101,3,3,Confirmed,1,1047,Full,gDNA
KIR2DL2*0030102,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030103,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030104,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030105,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030106,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030107,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*0030108,1,1,Unconfirmed,1,1047,Full,gDNA
KIR2DL2*00302,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*00303,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*00304,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*004,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL2*005,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL2*00601,2,2,Confirmed,1,1047,Full,cDNA
KIR2DL2*00602,3,3,Confirmed,1,1047,Full,cDNA
KIR2DL2*007,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*008,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*009,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*010,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*011,1,1,Unconfirmed,70,1047,Partial,cDNA
KIR2DL2*012,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*013,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*014,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*015,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL2*016,1,1,Unconfirmed,1,1047,Full,cDNA
KIR2DL3*0010101,4,4,Confirmed,1,1026,Full,gDNA
KIR2DL3*0010102,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010103,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010104,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010105,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010106,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010107,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010108,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010109,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010110,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010111,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010112,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010113,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010114,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0010115,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*00102,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00103,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00104,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00105,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00106,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00107,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00108,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00109,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00110,3,3,Confirmed,1,1026,Full,gDNA
KIR2DL3*00111,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00112,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*0020101,3,3,Confirmed,1,1026,Full,gDNA
KIR2DL3*0020102,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*0020103,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*003,2,2,Confirmed,1,1026,Full,cDNA
KIR2DL3*004,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00501,3,3,Confirmed,1,1026,Full,gDNA
KIR2DL3*00502,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*00503,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*006,3,3,Confirmed,1,1026,Full,gDNA
KIR2DL3*007,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*008N,1,1,Unconfirmed,71,1025,Partial,cDNA
KIR2DL3*009,2,2,Confirmed,1,1026,Full,cDNA
KIR2DL3*010,1,1,Unconfirmed,1,1050,Full,gDNA
KIR2DL3*011,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*01201,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*01202,2,2,Confirmed,1,1026,Full,cDNA
KIR2DL3*013,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*014,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*015,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*016,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*017,1,1,Unconfirmed,1,1050,Full,cDNA
KIR2DL3*01801,1,1,Unconfirmed,70,1050,Partial,cDNA
KIR2DL3*01802,1,1,Unconfirmed,1,1050,Full,cDNA
KIR2DL3*019,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*020,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*021,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*022,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*023,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*024,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*025,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*026,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*027,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*028,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*029,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*030,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*031,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*032,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*033,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*034,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*035,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL3*036,1,1,Unconfirmed,1,1026,Full,gDNA
KIR2DL3*037,1,1,Unconfirmed,1,1026,Full,cDNA
KIR2DL4*00101,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*0010201,13,5,Confirmed,1,1134,Full,gDNA
KIR2DL4*0010202,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0010203,2,1,Confirmed,1,1134,Full,gDNA
KIR2DL4*0010301,4,2,Confirmed,1,1134,Full,gDNA
KIR2DL4*0010302,1,1,Unconfirmed,29,1134,Partial,gDNA
KIR2DL4*0010303,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0010304,2,2,Confirmed,1,1134,Full,gDNA
KIR2DL4*0010305,2,2,Confirmed,1,1134,Full,gDNA
KIR2DL4*0010306,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0010307,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0010308,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0010309,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*00104,1,1,Unconfirmed,29,1134,Partial,gDNA
KIR2DL4*00105,1,1,Unconfirmed,7,1134,Partial,cDNA
KIR2DL4*00106,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00107,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*00108,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00201,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00202,2,2,Confirmed,1,1134,Full,cDNA
KIR2DL4*003,2,1,Confirmed,1,1134,Full,cDNA
KIR2DL4*004,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*0050101,11,7,Confirmed,1,1134,Full,gDNA
KIR2DL4*0050102,2,1,Confirmed,1,1134,Full,gDNA
KIR2DL4*0050103,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0050104,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0050105,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0050106,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*0050107,2,1,Confirmed,1,1134,Full,gDNA
KIR2DL4*00503,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00504,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00601,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*0060201,5,4,Confirmed,1,1134,Full,gDNA
KIR2DL4*0060202,1,1,Unconfirmed,1,1134,Full,gDNA
KIR2DL4*00603,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*00604,2,1,Confirmed,1,1134,Full,gDNA
KIR2DL4*007,1,1,Unconfirmed,1,1106,Partial,cDNA
KIR2DL4*0080101,7,4,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080102,3,2,Confirmed,1,1133,Full,cDNA
KIR2DL4*0080103,1,1,Unconfirmed,29,1133,Partial,gDNA
KIR2DL4*0080104,1,1,Unconfirmed,29,1133,Partial,cDNA
KIR2DL4*0080105,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0080106,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0080107,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080108,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0080201,3,2,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080202,1,1,Unconfirmed,29,1133,Partial,gDNA
KIR2DL4*0080203,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0080204,2,2,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080205,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080206,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080207,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0080208,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*00803,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080401,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*0080402,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*00805,2,1,Confirmed,1,1133,Full,gDNA
KIR2DL4*00901,1,1,Unconfirmed,29,1133,Partial,gDNA
KIR2DL4*00902,1,1,Unconfirmed,29,1133,Partial,cDNA
KIR2DL4*010,1,1,Unconfirmed,29,1134,Partial,gDNA
KIR2DL4*0110101,9,5,Confirmed,1,1133,Full,gDNA
KIR2DL4*0110102,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0110103,1,1,Unconfirmed,1,1133,Full,gDNA
KIR2DL4*0110104,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*01102,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*01201,2,1,Confirmed,1,1134,Full,cDNA
KIR2DL4*01202,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*013,2,2,Confirmed,1,1133,Full,cDNA
KIR2DL4*014,1,1,Unconfirmed,29,1134,Partial,cDNA
KIR2DL4*015,1,1,Unconfirmed,29,1134,Partial,cDNA
KIR2DL4*016,1,1,Unconfirmed,29,1134,Partial,cDNA
KIR2DL4*017,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*018,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*019,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*020,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*021,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*022,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*023,1,1,Unconfirmed,76,1134,Partial,cDNA
KIR2DL4*024,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*025,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*026,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*027,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*028,1,1,Unconfirmed,1,1132,Full,cDNA
KIR2DL4*029,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*030,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*031,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*032,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*033,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*034,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*035,1,1,Unconfirmed,1,1133,Full,cDNA
KIR2DL4*036,1,1,Unconfirmed,1,1134,Full,cDNA
KIR2DL4*037,1,1,Unconfirmed,1,1134,Full,cDNA
