KIR00001 2DL1*001
KIR00298 2DS1*0020102
KIR00296 2DS1*0020103
KIR00426 2DS1*0020104
KIR00427 2DS1*0020105
KIR00428 2DS1*0020106
KIR00255 2DS1*00202
KIR00035 2DS1*00301
KIR00254 2DS1*00302
KIR00036 2DS1*004
KIR00252 2DS1*00501
KIR00256 2DS1*00502
KIR00253 2DS1*006
KIR00271 2DS1*008
KIR00797 2DS1*009
KIR00037 2DS2*0010101
KIR00302 2DS2*0010102
KIR00270 2DS2*0010103
KIR00336 2DS2*0010104
KIR00446 2DS2*0010105
KIR00447 2DS2*0010106
KIR00448 2DS2*0010107
KIR00449 2DS2*0010108
KIR00450 2DS2*0010109
KIR00451 2DS2*0010110
KIR00623 2DS2*0010111
KIR00635 2DS2*0010112
KIR00097 2DS2*00102
KIR00098 2DS2*00103
KIR00211 2DS2*00104
KIR00038 2DS2*002
KIR00039 2DS2*003
KIR00040 2DS2*004
KIR00041 2DS2*005
KIR00337 2DS2*006
KIR00530 2DS2*007
KIR00531 2DS2*008
KIR00906 2DS2*009
KIR00042 2DS3*00101
KIR00043 2DS3*00102
KIR00044 2DS3*0010301
KIR00636 2DS3*0010302
KIR00272 2DS3*00104
KIR00321 2DS3*00105
KIR00322 2DS3*00106
KIR00131 2DS3*0020101
KIR00429 2DS3*0020102
KIR00652 2DS3*0020103
KIR00232 2DS3*003N
KIR00273 2DS3*004
KIR00529 2DS3*005
KIR00663 2DS3*006
KIR00699 2DS3*007
KIR00885 2DS3*008
KIR00045 2DS4*0010101
KIR00092 2DS4*0010102
KIR00099 2DS4*0010103
KIR00452 2DS4*0010104
KIR00453 2DS4*0010105
KIR00496 2DS4*0010106
KIR00499 2DS4*0010107
KIR00498 2DS4*0010108
KIR00497 2DS4*0010109
KIR00046 2DS4*00102
KIR00274 2DS4*00103
KIR00327 2DS4*00104
KIR00820 2DS4*00105
KIR00947 2DS4*00106
KIR00048 2DS4*0030101
KIR00318 2DS4*0030102
KIR00430 2DS4*0030103
KIR00431 2DS4*0030104
KIR00089 2DS4*0040101
KIR00637 2DS4*0040102
KIR00090 2DS4*0060101
KIR00651 2DS4*0060102
KIR00132 2DS4*007
KIR00258 2DS4*008
KIR00275 2DS4*009
KIR00315 2DS4*010
KIR00320 2DS4*01101
KIR00341 2DS4*01102
KIR00323 2DS4*012
KIR00338 2DS4*013
KIR00340 2DS4*014
KIR00342 2DS4*015
KIR00731 2DS4*016
KIR00819 2DS4*017
KIR00821 2DS4*018
KIR00049 2DS5*001
KIR00050 2DS5*0020101
KIR00299 2DS5*0020102
KIR00297 2DS5*0020103
KIR00433 2DS5*0020104
KIR00532 2DS5*00202
KIR00051 2DS5*003
KIR00100 2DS5*004
KIR00101 2DS5*00501
KIR00706 2DS5*00502
KIR00276 2DS5*006
KIR00277 2DS5*007
KIR00278 2DS5*00801
KIR00339 2DS5*00802
KIR00319 2DS5*009
KIR00432 2DS5*010
KIR00665 2DS5*011
KIR00680 2DS5*012
KIR00822 2DS5*013
KIR00824 2DS5*014
KIR00878 2DS5*015
KIR00893 2DS5*016
KIR00948 2DS5*017
KIR00054 3DL1*0010101
KIR00434 3DL1*0010102
KIR00761 3DL1*0010103
KIR00055 3DL1*00102
KIR00809 3DL1*00103
KIR00857 3DL1*00104
KIR00877 3DL1*00105
KIR00056 3DL1*002
KIR00058 3DL1*0040101
KIR00758 3DL1*0040102
KIR00762 3DL1*0040103
KIR00059 3DL1*00402
KIR00526 3DL1*00403
KIR00854 3DL1*00404
KIR00060 3DL1*0050101
KIR00456 3DL1*0050102
KIR00707 3DL1*0050103
KIR00716 3DL1*0050104
KIR00718 3DL1*0050105
KIR00160 3DL1*00502
KIR00673 3DL1*00503
KIR00855 3DL1*00504
KIR00873 3DL1*00505
KIR00061 3DL1*006
KIR00062 3DL1*0070101
KIR00639 3DL1*0070102
KIR00712 3DL1*0070103
KIR00714 3DL1*0070104
KIR00063 3DL1*008
KIR00064 3DL1*009
KIR00102 3DL1*0150101
KIR00754 3DL1*0150102
KIR00755 3DL1*0150103
KIR00057 3DL1*0150201
KIR00479 3DL1*0150202
KIR00480 3DL1*0150203
KIR00720 3DL1*0150204
KIR00722 3DL1*0150205
KIR00724 3DL1*0150206
KIR00725 3DL1*0150207
KIR00726 3DL1*0150208
KIR00727 3DL1*0150209
KIR00728 3DL1*0150210
KIR00759 3DL1*0150211
KIR00760 3DL1*0150212
KIR00501 3DL1*01503
KIR00676 3DL1*01504
KIR00742 3DL1*01505
KIR00872 3DL1*01506
KIR00104 3DL1*016
KIR00105 3DL1*01701
KIR00233 3DL1*01702
KIR00106 3DL1*018
KIR00108 3DL1*019
KIR00133 3DL1*0200101
KIR00723 3DL1*0200102
KIR00144 3DL1*021
KIR00145 3DL1*022
KIR00147 3DL1*023
KIR00148 3DL1*024N
KIR00149 3DL1*0250101
KIR00756 3DL1*0250102
KIR00757 3DL1*0250103
KIR00150 3DL1*026
KIR00151 3DL1*02701
KIR00745 3DL1*02702
KIR00152 3DL1*028
KIR00153 3DL1*0290101
KIR00638 3DL1*0290102
KIR00154 3DL1*030
KIR00155 3DL1*0310101
KIR00763 3DL1*0310102
KIR00506 3DL1*03102
KIR00156 3DL1*032
KIR00157 3DL1*033
KIR00158 3DL1*034
KIR00159 3DL1*035
KIR00747 3DL1*03502
KIR00162 3DL1*036
KIR00163 3DL1*037
KIR00169 3DL1*038
KIR00170 3DL1*039
KIR00171 3DL1*040
KIR00172 3DL1*041
KIR00173 3DL1*042
KIR00174 3DL1*043
KIR00161 3DL1*044
KIR00238 3DL1*051
KIR00239 3DL1*052
KIR00240 3DL1*053
KIR00241 3DL1*054
KIR00250 3DL1*056
KIR00251 3DL1*057
KIR00311 3DL1*05901
KIR00860 3DL1*05902
KIR00312 3DL1*060
KIR00310 3DL1*061
KIR00454 3DL1*062
KIR00455 3DL1*063
KIR00500 3DL1*064
KIR00502 3DL1*065
KIR00503 3DL1*066
KIR00504 3DL1*067
KIR00505 3DL1*068
KIR00508 3DL1*069
KIR00509 3DL1*070
KIR00511 3DL1*071
KIR00527 3DL1*072
KIR00528 3DL1*073
KIR00681 3DL1*074
KIR00679 3DL1*075
KIR00701 3DL1*076
KIR00730 3DL1*077
KIR00743 3DL1*079
KIR00744 3DL1*080
KIR00746 3DL1*081N
KIR00767 3DL1*086
KIR00766 3DL1*087
KIR00810 3DL1*088
KIR00811 3DL1*089
KIR00812 3DL1*090
KIR00813 3DL1*091
KIR00814 3DL1*092
KIR00815 3DL1*093
KIR00816 3DL1*094N
KIR00851 3DL1*095
KIR00866 3DL1*096
KIR00867 3DL1*097
KIR00868 3DL1*098
KIR00869 3DL1*099
KIR00859 3DL1*100
KIR00870 3DL1*101
KIR00875 3DL1*102
KIR00876 3DL1*103
KIR00890 3DL1*109
KIR00958 3DL1*110
KIR00960 3DL1*111
KIR00065 3DL2*0010101
KIR00459 3DL2*0010102
KIR00280 3DL2*00102
KIR00317 3DL2*0010301
KIR00462 3DL2*0010302
KIR00541 3DL2*00104
KIR00796 3DL2*00105
KIR00789 3DL2*00106
KIR00832 3DL2*00107
KIR00937 3DL2*00109
KIR00066 3DL2*0020101
KIR00461 3DL2*0020102
KIR00463 3DL2*0020103
KIR00464 3DL2*0020104
KIR00465 3DL2*0020105
KIR00640 3DL2*0020106
KIR00460 3DL2*00202
KIR00770 3DL2*00203
KIR00847 3DL2*00204
KIR00067 3DL2*00301
KIR00287 3DL2*00302
KIR00774 3DL2*00303
KIR00783 3DL2*00304
KIR00068 3DL2*004
KIR00069 3DL2*00501
KIR00600 3DL2*00502
KIR00070 3DL2*00601
KIR00930 3DL2*00602
KIR00071 3DL2*0070101
KIR00295 3DL2*0070102
KIR00458 3DL2*0070103
KIR00543 3DL2*00702
KIR00778 3DL2*00703
KIR00808 3DL2*00704
KIR00823 3DL2*00705
KIR00841 3DL2*00706
KIR00844 3DL2*00707
KIR00915 3DL2*00708
KIR00927 3DL2*00709
KIR00072 3DL2*008
KIR00073 3DL2*00901
KIR00134 3DL2*00902
KIR00457 3DL2*00903
KIR00074 3DL2*01001
KIR00784 3DL2*01002
KIR00840 3DL2*01003
KIR00883 3DL2*01004
KIR00075 3DL2*01101
KIR00544 3DL2*01102
KIR00549 3DL2*01103
KIR00076 3DL2*012
KIR00107 3DL2*01301
KIR00597 3DL2*01302
KIR00598 3DL2*01303
KIR00135 3DL2*014
KIR00136 3DL2*015
KIR00137 3DL2*016
KIR00204 3DL2*017
KIR00205 3DL2*018
KIR00206 3DL2*01901
KIR00931 3DL2*01902
KIR00207 3DL2*020
KIR00210 3DL2*021
KIR00237 3DL2*022
KIR00279 3DL2*023
KIR00281 3DL2*024
KIR00282 3DL2*025
KIR00283 3DL2*026
KIR00284 3DL2*027
KIR00285 3DL2*028
KIR00286 3DL2*029
KIR00288 3DL2*030
KIR00289 3DL2*031
KIR00290 3DL2*032
KIR00291 3DL2*033
KIR00292 3DL2*034
KIR00343 3DL2*035
KIR00344 3DL2*036
KIR00345 3DL2*037
KIR00346 3DL2*038
KIR00347 3DL2*039
KIR00348 3DL2*040
KIR00507 3DL2*041
KIR00539 3DL2*042N
KIR00540 3DL2*04301
KIR00936 3DL2*04302
KIR00542 3DL2*044
KIR00545 3DL2*045
KIR00546 3DL2*046
KIR00547 3DL2*047
KIR00548 3DL2*048
KIR00572 3DL2*049
KIR00578 3DL2*050
KIR00580 3DL2*051
KIR00581 3DL2*052
KIR00582 3DL2*053
KIR00583 3DL2*054
KIR00579 3DL2*055
KIR00624 3DL2*056
KIR00599 3DL2*057
KIR00601 3DL2*058
KIR00602 3DL2*059
KIR00603 3DL2*06001
KIR00934 3DL2*06002
KIR00604 3DL2*061
KIR00615 3DL2*06201
KIR00666 3DL2*06202
KIR00702 3DL2*063
KIR00793 3DL2*064
KIR00794 3DL2*065
KIR00795 3DL2*066
KIR00768 3DL2*067
KIR00769 3DL2*068
KIR00771 3DL2*069
KIR00772 3DL2*070
KIR00773 3DL2*071
KIR00775 3DL2*072
KIR00776 3DL2*073
KIR00777 3DL2*074
KIR00779 3DL2*075
KIR00780 3DL2*076
KIR00781 3DL2*077
KIR00782 3DL2*078
KIR00785 3DL2*079
KIR00929 3DL2*07902
KIR00786 3DL2*080
KIR00787 3DL2*081
KIR00788 3DL2*082
KIR00807 3DL2*083
KIR00825 3DL2*084
KIR00827 3DL2*085
KIR00829 3DL2*086
KIR00831 3DL2*087
KIR00834 3DL2*088
KIR00836 3DL2*089
KIR00838 3DL2*090
KIR00839 3DL2*091
KIR00842 3DL2*092
KIR00843 3DL2*093
KIR00845 3DL2*094
KIR00846 3DL2*095
KIR00848 3DL2*096
KIR00862 3DL2*097
KIR00888 3DL2*098
KIR00908 3DL2*099
KIR00910 3DL2*10001
KIR00938 3DL2*10002
KIR00911 3DL2*101
KIR00916 3DL2*102
KIR00924 3DL2*103
KIR00925 3DL2*104
KIR00926 3DL2*105
KIR00932 3DL2*10601
KIR00933 3DL2*10701
KIR00935 3DL2*10801
KIR00939 3DL2*109
KIR00962 3DL2*11001
KIR00963 3DL2*11002
KIR00077 3DL3*00101
KIR00222 3DL3*00102
KIR00224 3DL3*00103
KIR00550 3DL3*00104
KIR00078 3DL3*00201
KIR00079 3DL3*00202
KIR00180 3DL3*00203
KIR00178 3DL3*00204
KIR00198 3DL3*00205
KIR00218 3DL3*00206
KIR00230 3DL3*00207
KIR00383 3DL3*00208
KIR00554 3DL3*00209
KIR00560 3DL3*00210
KIR00790 3DL3*00211
KIR00080 3DL3*0030101
KIR00303 3DL3*0030102
KIR00482 3DL3*0030103
KIR00642 3DL3*0030104
KIR00559 3DL3*00302
KIR00081 3DL3*00401
KIR00138 3DL3*0040201
KIR00486 3DL3*0040202
KIR00139 3DL3*005
KIR00140 3DL3*00601
KIR00191 3DL3*00602
KIR00141 3DL3*007
KIR00142 3DL3*00801
KIR00143 3DL3*00802
KIR00175 3DL3*0090101
KIR00481 3DL3*0090102
KIR00484 3DL3*0090103
KIR00223 3DL3*00902
KIR00382 3DL3*00903
KIR00563 3DL3*00904
KIR00612 3DL3*00905
KIR00181 3DL3*01001
KIR00533 3DL3*01002
KIR00923 3DL3*01003
KIR00182 3DL3*01101
KIR00188 3DL3*01102
KIR00179 3DL3*012
KIR00176 3DL3*01301
KIR00183 3DL3*01302
KIR00184 3DL3*01303
KIR00185 3DL3*01304
KIR00221 3DL3*01305
KIR00231 3DL3*01306
KIR00225 3DL3*01307
KIR00556 3DL3*01308
KIR00565 3DL3*01309
KIR00177 3DL3*01401
KIR00186 3DL3*0140201
KIR00485 3DL3*0140202
KIR00626 3DL3*0140203
KIR00187 3DL3*01403
KIR00228 3DL3*01404
KIR00234 3DL3*01405
KIR00381 3DL3*01406
KIR00558 3DL3*01407
KIR00613 3DL3*01408
KIR00189 3DL3*01501
KIR00384 3DL3*01502
KIR00190 3DL3*01601
KIR00386 3DL3*01602
KIR00192 3DL3*017
KIR00193 3DL3*01801
KIR00608 3DL3*01802
KIR00194 3DL3*019
KIR00195 3DL3*020
KIR00196 3DL3*02101
KIR00215 3DL3*02102
KIR00197 3DL3*022
KIR00216 3DL3*023
KIR00217 3DL3*0250101
KIR00385 3DL3*02502
KIR00219 3DL3*02601
KIR00919 3DL3*02602
KIR00220 3DL3*02701
KIR00513 3DL3*02702
KIR00553 3DL3*02703
KIR00226 3DL3*028
KIR00227 3DL3*029
KIR00229 3DL3*030
KIR00235 3DL3*031
KIR00379 3DL3*032
KIR00380 3DL3*033
KIR00387 3DL3*034
KIR00388 3DL3*035
KIR00483 3DL3*036
KIR00514 3DL3*037
KIR00515 3DL3*038
KIR00516 3DL3*039
KIR00517 3DL3*040
KIR00551 3DL3*041
KIR00552 3DL3*042
KIR00555 3DL3*043
KIR00557 3DL3*044
KIR00561 3DL3*045
KIR00562 3DL3*046
KIR00564 3DL3*047
KIR00641 3DL3*048
KIR00917 3DL3*04802
KIR00605 3DL3*04901
KIR00791 3DL3*04902
KIR00606 3DL3*050
KIR00607 3DL3*051
KIR00609 3DL3*052
KIR00610 3DL3*053
KIR00611 3DL3*054
KIR00614 3DL3*055
KIR00662 3DL3*056
KIR00669 3DL3*057
KIR00792 3DL3*058
KIR00833 3DL3*059
KIR00835 3DL3*060
KIR00837 3DL3*061
KIR00920 3DL3*062
KIR00918 3DL3*063
KIR00921 3DL3*064
KIR00922 3DL3*065
KIR00940 3DL3*066
KIR00941 3DL3*067
KIR00942 3DL3*068
KIR00943 3DL3*069
KIR00944 3DL3*070
KIR00087 3DP1*001
KIR00093 3DP1*002
KIR00088 3DP1*0030101
KIR00467 3DP1*0030102
KIR00094 3DP1*0030201
KIR00466 3DP1*0030202
KIR00468 3DP1*0030203
KIR00469 3DP1*0030204
KIR00627 3DP1*0030205
KIR00643 3DP1*0030206
KIR00470 3DP1*00303
KIR00471 3DP1*0030401
KIR00629 3DP1*0030402
KIR00091 3DP1*004
KIR00268 3DP1*005
KIR00269 3DP1*006
KIR00309 3DP1*007
KIR00472 3DP1*008
KIR00492 3DP1*0090101
KIR00494 3DP1*0090102
KIR00495 3DP1*0090103
KIR00493 3DP1*00902
KIR00628 3DP1*01001
KIR00864 3DP1*01002
KIR00696 3DP1*011
KIR00700 3DP1*012
KIR00698 3DP1*013
KIR00705 3DP1*014
KIR00863 3DP1*015
KIR00082 3DS1*010
KIR00083 3DS1*011
KIR00084 3DS1*012
KIR00085 3DS1*0130101
KIR00489 3DS1*0130102
KIR00488 3DS1*0130103
KIR00708 3DS1*0130104
KIR00709 3DS1*0130105
KIR00710 3DS1*0130106
KIR00711 3DS1*0130107
KIR00713 3DS1*0130108
KIR00715 3DS1*0130109
KIR00717 3DS1*0130110
KIR00719 3DS1*0130111
KIR00164 3DS1*01302
KIR00667 3DS1*01303
KIR00853 3DS1*01304
KIR00887 3DS1*01305
KIR00891 3DS1*01306
KIR00896 3DS1*01307
KIR00086 3DS1*014
KIR00165 3DS1*045
KIR00166 3DS1*046
KIR00167 3DS1*047
KIR00168 3DS1*048
KIR00146 3DS1*049N
KIR00236 3DS1*050
KIR00243 3DS1*055
KIR00261 3DS1*058
KIR00751 3DS1*078
KIR00749 3DS1*082
KIR00750 3DS1*083
KIR00752 3DS1*084
KIR00753 3DS1*085
KIR00852 3DS1*104
KIR00856 3DS1*105
KIR00858 3DS1*106
KIR00871 3DS1*107
KIR00874 3DS1*108
KIR00376 Mamu-KIR1D*002
KIR00377 Mamu-KIR3DH2*00501
KIR00353 Mamu-KIR3DL1*013
KIR00354 Mamu-KIR3DL1*014
KIR00355 Mamu-KIR3DL1*015
KIR00356 Mamu-KIR3DL1*016
KIR00359 Mamu-KIR3DL1*017
KIR00360 Mamu-KIR3DL1*018
KIR00357 Mamu-KIR3DL10*003
KIR00358 Mamu-KIR3DL10*004
KIR00364 Mamu-KIR3DL2*003
KIR00365 Mamu-KIR3DL2*00401
KIR00366 Mamu-KIR3DL2*00402
KIR00367 Mamu-KIR3DL2*005
KIR00361 Mamu-KIR3DL20*001
KIR00362 Mamu-KIR3DL20*004
KIR00363 Mamu-KIR3DL20*005
KIR00368 Mamu-KIR3DL7*003
KIR00369 Mamu-KIR3DL7*004
KIR00370 Mamu-KIR3DL7*005
KIR00371 Mamu-KIR3DL7*006
KIR00372 Mamu-KIR3DL7*007
KIR00373 Mamu-KIR3DL7*008
KIR00375 Mamu-KIR3DL8*00102
